seen|product|activity|web_desc
1|wrap front wideleg high rise cropped pants 24|on the move|these carefree crops feel like easy days and warm nights tie the wrap front in a bow and youre ready for good times
1|dynamic days jumpsuit|on the move|heres your hot tip of the day a oneanddone utilityinspired jumpsuit the adjustable waist can be worn cinched or slouchy
1|nano clipon backpack fleece|on the move|tiny bag big impact keep exactly what you need all in one placelike your earbuds and hand sanitizer just clip and go
1|nano clipon backpack|on the move|tiny bag big impact keep exactly what you need all in one placelike your earbuds and hand sanitizer just clip and go
1|cross paths rucksack 14l|on the move|that everythinginitsplace feeling this lightweight backpack has multiple organization pocket and a classic fold over closure
1|relaxed tie front tank|on the move|this lightweight tank pairs well with afternoon walks in the sun tie the front tight or wear it a little relaxed whatever suits your mood
1|wunder under superhighrise tight 28 fullon luon online only|yoga and training|train flow or just chill in the fanfavourite wunder under collectionultracomfort thanks to minimal seams and a wide waistband
1|wunder under superhighrise tight 28 luxtreme|yoga and training|train flow and restore in the versatile wunder under collection powered by luxtreme fabric these tights are a sweaty staple
1|wunder under superhighrise tight 28 fullon luon online only|yoga|weve updated these versatile tights with a super high rise for extra coverage the secondskin fit makes them perfect for yoga or the gym
3|wunder under superhighrise tight 28 fullon luxtreme|yoga and training|the one that started it all lunge train or flow in our versatile wunder under collection powered by luxtreme fabric these tights are a sweaty staple
1|wunder under superhighrise tight 28 fullon luon online only|yoga|these versatile super highrise tights were designed to fit like a second skinperfect for yoga or the gym
1|wunder under superhighrise tight 28 fullon luxtreme|yoga and training|the one that started it all lunge train or flow in the versatile wunder under collection luxtreme fabric makes these tights a sweaty staple
1|wunder under superhighrise tight 28 luxtreme|yoga and training|train flow and restore in the versatile wunder under collection ribbed luxtreme fabric makes these tights a sweaty staple
1|womens let it flourish ankle sock|on the move|get moving through day these socks have breathable construction and hug your feet with 360 support
1|commission slimfit woolblend pant 32|on the move|a classic chino done our way these pants powered by abc technology come equipped with hidden pockets and stretchy fabric to keep up with your daily agenda
1|always in motion long boxer with fly 7 3 pack online only|on the move|the good stuff these boxers feature an ergonomic design and supersoft quickdrying fabric for total comfort while working out or on the go
1|BrightJupiter lab mesh panels highrise tight 25 online only|training|own your workouts in these ventilated tights mesh fabric panels and fastdrying everlux fabric keep comfort levels high as you work up a sweat
3|relaxedfit training long sleeve shirt online only|training|your favourite sweats got an upgrade made from workoutfriendly fabric this top is equally as comfortable at home and at the gym
2|BrightJupiter lab nulux and mesh highrise tight 25|training|take your training by storm  with a mesh fabric overlay for  breathable coverage these  tights are built to withstand  a hit of sweat and dynamic  movement
7|light locks scrunchie|training|scrunchies a classic for a reason this lightweight version keeps hair out of the way while you train
2|light locks scrunchie|training|keep sweaty locks out of the way with this lightweight scrunchie
2|smocked swim top ab cup|swim|the water awaits this pullon swim top is made in textured smocked fabric and features a vneck and vback
1|reversible shirt jacket|on the move|two looks in one say no more wear this reversible shirt jacket with the waterrepellent side out or flip to the flannel side for a laidback cozy vibe
1|quilted embrace tote bag 20l|on the move|designed with a padded harness for optimal comfort this spacious tote has all the organization you need for  a day of going places
1|quilted embrace tote bag 20l|on the move|designed with a padded harness for optimal comfort this spacious tote has all the organization you need for a day of going places
12|wunder train highrise short 6|training|train hard not hot powered by everlux the wunder train collection is highly breathable and quickly wicks sweat so you feel less sweaty during and after your workout
1|wunder train highrise short 6 foil|training|train hard not hot powered by everlux the wunder train collection is highly breathable and quickly wicks sweat so you feel less sweaty during and after your workout
1|wunder train highrise short 6|training|train hard not hot powered by everlux our fastestdrying fabric the wunder train collection manages heat and sweat so you stay comfortableand focused
1|sit in lotus wrap ii|on the move|how do you like your cozy wear this wool meditation wrap long or flip it upside down for a shorter look with a cascading collar
3|swift speed highrise short 8|running|as reliable as your favourite run route powered by our supportive luxtreme fabric these shorts always deliver with lots of pockets and a hit of reflectivity
2|limited edition swift speed highrise short 8|running|as reliable as your favourite run route powered by luxtreme fabric these crops deliver with plenty of pockets and a hit of reflectivity
1|swift speed highrise short 8|running|as reliable as your favourite run route made from sweatwicking luxtreme fabric these shorts always deliver with lots of pockets and a hit of reflectivity
3|cotton french terry zip hoodie|on the move|after all the reps and sets comes rest make your downtime a little softer and a lot more comfy in this cotton french terry hoodie
3|take it on crossbody pouch|on the move|your day isnt one dimensional and neither is this bag wear it around your neck or crossbody and use the shock cord adjustor to customize the length
1|BrightJupiter lab seamless woolblend long sleeve shirt|on the move|just you and the outdoors this merino woolblend mock neck has seamless construction to provide distractionfree warmth
1|BrightJupiter lab utilitarian pant|on the move|for days in perpetual motion these structured pants have plenty of stretch and multiple pockets to keep what you need on hand
4|everywhere belt bag large 2l|on the move|phone keys wallet plus a little extra this large version of our everywhere belt bag has the same great shape with an added litre for your essentials for now you can purchase up to 5 items of the same colour or 10 of different colours
2|quilted grid crossbody bag 5l|on the move|your day just got softer with a puffy quilted exterior this crossbody bag offers a cushioned landing for your essentials
1|utilitarian tote bag 25l online only|on the move|a perfect travel companion this tote fits your big things and organizes your little things multiple pockets on the front and sides let you store and access belongings with ease
1|lightweight pullon superhighrise short|on the move|get up and go these pullon athleticinspired shorts are perfect for dashing from afternoon hangs to sunset strolls
2|surge warm halfzip|running|stay warm and on the radar as you power through latenight runs this top offers the perfect blend of warmth breathability and reflectivity
1|cotton french terry  swift tshirt|on the move|throw on this sweatshirt tee after the gym to keep that postworkout energy going all day a lightweight smooth fabric overlay helps keep the sporty vibes alive
1|mesh panel training shortsleeve shirt|training|push through your workout in this tee made with mesh details for highsweat comfort because sometimes a rush of fresh air is all the motivation you need
3|at ease hoodie|on the move|be ready for everything the day throws at you this naturally breathable doubleknit hoodie moves from workouts to whatever comes next
1|textured fleece fullzip vest online only|on the move|this vest is designed to give you the warm and fuzzies burrow into the soft textured fleece fabric for an instant dose of cozy comfort
1|pulse motivation long sleeve|training|when the workout gets tough this abrasionresistant long sleeve gets tougherbuilt with mesh fabric for ultimate breathability
1|track and train highrise short 4|running|take your workout from indoors to outdoors these track and train shorts come with plenty of pockets and no zippers so you can run train or hit up hot yoga
1|convertible hiking pant|hiking|detours welcome zippers at the knee transform these hiking pants into shorts so you can adapt to any terrain temperature or weather
1|vital drive training tight 28 online only|training|these tights are engineered to support you through highintensity workouts interior gripping is mapped to hold the tights in place and help stabilize major muscle groups
8|free to be serene longline bra light support cd cup online only|yoga|you can have it all coverage for a cd cup up front and a strappy open back that allows full range of motion
1|tank a hint bra medium support bc cup|training|designed with multisport training in mind this longline bra has the support and coverage you need to take you through any sweaty activity
1|BrightJupiter lab highrise woven jogger|on the move|take it outside these waterrepellent wideleg joggers have a high rise and hidden elasticized waistband to create a sleek fit
1|back in action long sleeve shirt|on the move|we designed this super soft long sleeve to help keep you cool and comfortable after your workout
2|waterside relaxed uv protection long sleeve|swim|the suns out and youre ready for it this top gives you sun protection and has back panels that give you airflow without falling open
2|waterside swim top c cup|swim|jump in this swim top isnt your typical triangle bikini builtin cups give you shape and coverage
1|womens baller hat soft|on the move|this classic ball cap will be your goto for everything from your morning run to brunch with the girls or an afternoon hikechoose your adventure
3|at ease half zip|on the move|be ready for everything the day throws at you this naturally breathable doubleknit half zip moves from workouts to whatevers next
1|cotton shirt jacket|on the move|meet your new rain or shine favourite we made this shirt jacket from waterresistant cottonblend fabric so every days a good day to wear it
1|all you do tank top|yoga and training|plunge into your practice in this soft studio tank light stretchy nulu fabric feels as good as sinking into savasana
70|everywhere belt bag 1l|on the move|phone keys wallet keep them close in this versatile belt bag that helps you get out the door and on to your next adventure for now you can purchase up to 5 items of the same colour or 10 of different colours
1|new year everywhere belt bag 1l|on the move|phone keys wallet keep them close in this versatile belt bag that helps you get out the door and on to your next adventure for now you can purchase up to 5 items of the same colour or 10 of different colours
2|everywhere belt bag 1l fleece|on the move|phone keys wallet keep them close in this versatile belt bag that helps you get out the door and on to your next adventure for now you can purchase up to 5 items of the same colour or 10 of different colours
1|limited edition everywhere belt bag|on the move|phone keys wallet keep them close in this versatile belt bag that helps you get out the door and on to your next adventure for now you can purchase up to 5 items of the same colour or 10 of different colours
2|team canada everywhere belt bag coc logo|on the move|phone keys wallet keep them close in this versatile belt bag that helps you get out the door and on to your next adventure for now you can purchase up to 5 items of the same colour or 10 of different colours
1|everywhere belt bag 1l velour|on the move|phone keys wallet keep them close in this belt bag that helps you get out the door and on to your next adventure this version is made from plush velour fabric for now you can purchase up to 5 items of the same colour or 10 of different colours
1|new year everywhere belt bag 1l fleece|on the move|phone keys wallet keep them close in this versatile belt bag that helps you get out the door and on to your next adventure for now you can purchase up to 5 items of the same colour or 10 of different colours
1|cross chill run neckwarmer|running|who wants a cold neck no one designed to keep your neck warm while your body moves freely
1|thick fleece pullover|on the move|thick weighty and warm this cozy pullover gets you from a to b in relaxed comfort even if a is the couch and b is the cafe around the corner
3|metal vent breathe long sleeve shirt|training|bring on the heat the metal vent breathe collection powered by seamless construction is designed to keep the air flowing during intense sweat sessions
1|salty swim sleeveless rashie|swim|this reversible top helps shield us from rash and rays during long summer days we made it out of stretchy fabric that delivers a supersized dose of upf sun protection a high neck adds an extra bit of coverage when were out making waves
4|fast and free running belt|running|this sleek run belt is lightweight breathable and fits all your essentials so you can go the distance
1|limited edition fast and free running belt|running|your best pace awaits sleek and lightweight this breathable run belt holds snacks and other essentials so you can go the distance
5|fast and free running belt|running|sleek and lightweight this breathable run belt holds snacks and other essentials so you can go the distance
2|in alignment straightstrap bra light support cd cup online only|yoga|keep on flowing this straightstrap bra offers support with separation and coverage
2|BrightJupiter x madhappy packable running jacket|on the move|race against rain clouds this featherlight jacket packs down and snaps around your arm as you run so you stay hands free and prepared for whatever weather is on the horizon
8|city sweat jogger tall online only|on the move|sometimes basics are best these naturally breathable joggers have your back and your legs too from workout to hang out
1|womens speed quarter sock antistink|running|be kind to your feet these lightweight running socks have microcushioning in the heel and toe
1|womens speed quarter sock|running|be kind to your feet these lightweight running socks have microcushioning in the heel and toe
9|wunder train cropped long sleeve shirt|training|train hard not hot powered by everlux fabric the wunder train collection manages heat and sweat so you stay comfortable and focused
1|wunder train cropped long sleeve shirt foil|training|train hard not hot powered by everlux fabric the wunder train collection manages heat and sweat so you stay comfortable and focused
1|wunder train cropped long sleeve shirt|training|train hard not hot poweredby everlux fabric the wundertrain collection manages heatand sweat so you staycomfortable and focused
1|wunder train cropped long sleeve shirt online only|training|train hard not hot powered by everlux fabric the wunder train collection manages heat and sweat so you stay comfortable and focused
2|mesh panelled training long sleeve shirt|training|its all you celebrate your strength in this formfitting training top made with naturally breathable mesh fabric panels to help keep you cool in sweaty studios
2|lightweight uv protection running jacket|running|make friends with the sun this lightweight running jacket is uvprotective so you can let your shadow chase you from dawn to dusk
1|cold terrain halfzip hoodie|on the move|chase an endorphin rush in the quiet cold in this warm half zip hoodie that features zones of water protection for uncertain forecasts
1|sleet street vest online only|on the move|cold day might rain but you look all happy and cozy in this lightweight waterproof down vest mission accomplished
1|sleet street vest online only|on the move|waterproof warmth to the rescue when cold weather sets in this vest is here to bundle you up in soft channels of goose down so all you feel is warm and cozy
2|logo waistband highrise training short|training|ready when you are from burpees to box jumps these twoinone shorts offer airy coverage for challenging training sessions
2|senseknit composite running jacket|running|feel the rhythm of your run using seamless senseknit technology this jacket balances warmth and breathability over long distances
3|at ease short 7|on the move|restoration starts now these soft shorts feature textured fabric that relaxes over time to keep you comfortable after workouts
6|BrightJupiter align reversible bra light support ab cup asia fit|yoga|feels almost as good as savasana powered by weightlessly soft nulu fabric this reversible yoga bra wraps you in buttery softness
1|wade the waters paddle suit online only|swim|this paddle suit protects you from the sun and has a sleek heldin feel
3|abc skinnyfit pant 32 warpstreme online only|on the move|the fivepocket jean reinvented these skinnyfit pants powered by abc technology give you freedom of movement and allday comfort
1|keep the heat thermal long sleeve shirt|on the move|keep warm during intense coldweather activities this highperformance layer is sweatwicking on the inside and insulating on the outside
3|at ease crew online only|on the move|be ready for everything the day throws at you this naturally breathable doubleknit crew moves from workouts to whatevers next
1|all ease beanie|on the move|sometimes the last thing you reach for is what brings it all together like this textured cottonblend beanie
3|wunder train contour fit highrise crop 23|training|train hard not hot powered by everlux fabric the wunder train contour fit collection manages heat and sweat while the adjusted hiptowaist ratio fits your curves
1|5 year basic tshirt 3 pack online only|on the move|the one you reach for this longtime fan favourite is soft and comfortable all day long
1|alpine air beanie|on the move|its layering season you know what that means this beanies doubleknit construction of warm woolblend fabrics got you covered
2|invigorate highrise tight 31|training|focus on your strength not your sweat powered by everlux our fastest drying fabric the highly breathable invigorate collection handles heat and sweat during intense workouts
2|invigorate highrise tight 31 online only|training|focus on your strength not your sweat powered by everlux our fastest drying fabric the highly breathable invigorate collection handles heat and sweat during intense workouts
2|nulu and meshback shelfbra yoga tank top|yoga|everything you want in a yoga toplightweight coverage extra ventilation and that butterysoft nulu fabric we know you love
1|gold stitch relaxedfit sweatpants asia fit|on the move|amp up the cozy in these sweatpants made from warm fleece fabric pair it with the matching hoodie for head to toe comfort
1|your true trouser high rise pant|on the move|you may have slept through your alarm but these pants will have you flying out the door looking effortlessly put together
1|the everyday highrise skirt|on the move|all day every day youll want to wear this lightweight perfectlength skirt seven days a week
7|easy access crossbody bag online only|on the move|avoid those wheredidiputmyphone moments this crossbody bag is easy to carry doubles as a belt bag and fits your phone and passport
1|seawheeze easy access crossbody bag|on the move|your best adventure awaits avoid those wheredidiputmyphone moments this crossbody bag is easy to carry doubles as a belt bag and fits your phone and passport
1|easy access crossbody bag|on the move|avoid those wheredidiputmyphone moments this crossbody bag is easy to carry doubles as a belt bag and fits your phone and passport
1|team canada relaxed highrise fleece jogger cpc logo online only|on the move|when youre craving casual comfort cozy up in these soft relaxedfitting joggers
2|team canada relaxed highrise fleece jogger coc logo online only|on the move|when youre craving casual comfort cozy up in these soft relaxedfitting joggers
4|break a trail waterproof jacket|running|there are few things as refreshing as running in the rain wear this waterproof jacket over your favourite base layer and go for it
1|BrightJupiter lab lightweight packable halfzip jacket|on the move|featuring a labexclusive  print this ultralightweight  jacket provides ventilation  when things heat up and packs  into itself when skies clear
1|out run beanie|running|keep your head and ears warm during coldweather runs with this soft fitted beanie
1|winter warrior long parka|on the move|we designed this long parka for cold canadian winters using waterproof fabric and 600fillpower goose down
4|nulu cropped define jacket|on the move|whether youre up for adventure or ready for downtime this shortened version of our fanfavourite define jacket has a feelgood fit that can do it all
1|BrightJupiter lab jacquard maxi dress|on the move|simplify without compromising made in a soft drapey fabric this maxi dress has a high neck and a deepv back
3|warp light packable jacket|training|take your workout outdoors we made this jacket with panels of technical mesh fabric for that breezy feeling on sweaty skin
2|BrightJupiter align ribbed bra light support cd cup|yoga|feels almost as good as savasana this ribbed version of the BrightJupiter align yoga bra wraps you in buttery softness
1|add flare highrise crop 21|yoga|add some flair to your practice with these butterysoft yoga crops that have a slit back hem for unrestricted movement
5|license to train tight 27 online only|training|go all out these versatile training tights give you lockedin support and distractionfree bonded construction so you can focus on powering through your workout
1|new year license to train tight 27|training|go all out these versatile training tights give you lockedin support and distractionfree bonded construction so you can focus on powering through your workout
3|wunder train contour fit highrise short 4 online only|training|train hard not hot powered by everlux fabric the wunder train contour fit collection manages heat and sweat while the adjusted hiptowaist ratio fits your curves
1|logo waistband everlux highrise tight 25|training|cool and focused these superbreathable tights feature an elastic waistband that stays in place as you train
2|energy bra mesh medium support bd cups|training|breathe and sweat easy in this allsport bra
2|intended for mediumimpact activities||
2|weave the waves onepiece swimsuit|swim|gotta love a onepiece especially one with uv protection and straps you can tie in different ways
1|weave the waves onepiece swimsuit|swim|this versatile one piece is ready for the sun thanks to fabric with uv protection reconfigure the straps at the back for a different look every time you hit the beach
1|mens daily stride noshow sock 3 pack|on the move|dont sweat the small stuff these socks pack the features you need for all day comfort in a noshow design that will stay hidden in your shoes
1|surge warm half tight 10 online only|running|conquer coldweather runs wear these warm brushed half tights on their own or layer them under a pair of shorts
1|light locks scrunchie|training|scrunchies a classic for a reason this lightweight version keeps your hair back and out of the way while you train
2|strappy nulu shelf tank top|yoga|float from pose to pose in this butterysoft tank top it has a builtin shelf bra for gentle support
1|mens power stride tab sock 5 pack online only|training|set the groundwork for a strong workout these socks hug the shape of your foot for a distractionfree fit as you move
3|BrightJupiter align mesh tshirt special edition|yoga|the BrightJupiter align collection is so weightless and buttery soft all you feel is your practice this special edition tee has a mesh fabric crossover detail on the back
1|test of time card holder|on the move|clip this pouch onto your keychain or bag to keep your cards and cash handy
3|relaxedfit training short sleeve shirt|training|your favourite sweats got an upgrade made from workoutfriendly fabric this top is equally as comfortable at home and at the gym
1|BrightJupiter energy highneck longline bra medium support bd cups|training|we created a longline version of this fan favourite bra to give you an extra inch of style for yoga and gym workouts
1|switch please shacket|on the move|we combined your favourite shirt and puffy coat  this reversible piece is soft and sweatwicking on one side and waterrepellent on the other
2|full day ahead short sleeve shirt|on the move|tackle your todo list without breaking a sweat this boxy blouse has lots of room for airflow so busy days are a breeze
1|boxy seersucker short sleeve shirt|on the move|tackle your todo list without breaking a sweat this boxy blouse has lots of room for airflow so busy days are a breeze
1|stretch golf polo shirt|golf|tee off in comfort this breathable golf polo is made with fourway stretch fabric to make swings and putts a breeze
1|here to there highrise 78 pant|on the move|these trouserinspired pants bring total comfort to the every day wrinklefree performance fabric keeps things easy
2|pushing limits bra light support ab cup|yoga|reach the fullest expression of your poses in this longline bra with a strappy open back
1|loop it up mat strap|yoga|we added eyelets to this nofuss mat strap so you have a spot to attach your off the mat pouch keys and more
1|loop it up mat strap reflective logo|yoga|a nofuss mat strap perfect for carrying well your mat it doubles as a strap to help you stretch how about that
1|loop it up mat strap squad|yoga|a supersimplified yogamat strap made for the reversible un mat the reversible big mat and everything in between
1|loop it up mat strap|on the move|a nofuss mat strap perfect for carrying well your mat it doubles as a strap to help you stretch how about that
1|loop it up mat strap|yoga|we designed this yoga mat strap with a bucklefree closure on each end to make postsavasana rollups a breeze
4|loop it up mat strap|yoga|a nofuss mat strap perfect for carrying well your mat it doubles as a strap to help you stretch how about that
1|loop it up mat strap|yoga|this nofuss mat strap is the perfect way to move to and from class with added eyelets so you can to attach your off the mat pouch and keys
1|loop it up mat strap|yoga|we added eyelets to this supersimplified yoga mat strap so you can attach your off the mat pouch your keys and more
2|BrightJupiter align highrise wideleg pant 31|yoga|when feeling nothing is everything the BrightJupiter align collection powered by nulu fabric is so weightless and butterysoft all you feel is your practice
1|BrightJupiter align wide leg highrise pant 28|yoga|when feeling nothing is everything the BrightJupiter align collection powered by nulu fabric is so weightless and butterysoft all you feel is your practice
1|BrightJupiter align wide leg highrise pant 28 asia fit|yoga|when feeling nothing is everything the BrightJupiter align collection powered by nulu fabric is so weightless and butterysoft all you feel is your practice
1|BrightJupiter align highrise wideleg pant 31|yoga|when feeling nothing is everything the BrightJupiter align collection powered by nulu fabric is so weightless and buttery soft all you feel is your practice
8|back in action short sleeve shirt online only|on the move|a classic short sleeve youll reach for again and again the scooped back hem adds length for when you want a bit more coverage
1|back in action short sleeve tshirt vitasea|on the move|a classic short sleeve youll reach for again and again the scooped back hem adds length for when you want a bit more coverage
1|love long sleeve shirt slub|on the move|lots of reasons to love this long sleeve soft fabric just the right stretch and a casual fit for every day of the week
1|stretch highrise full length pant|on the move|when life gets busy these versatile relaxedfitting pants keep up
7|stretch highrise pant 78 length|on the move|when life gets busy these versatile relaxedfitting pants keep up
13|BrightJupiter align tshirt|yoga|when feeling nothing is everything the BrightJupiter align collection powered by nulu fabric is so weightless and buttery soft all you feel is your practice
2|lunar new year BrightJupiter align tshirt online only|yoga|when feeling nothing is everything the BrightJupiter align collection powered by nulu fabric is so weightless and buttery soft all you feel is your practice
1|mens micropillow tab running sock light cushioning|running|we mapped the movement and impact of a runners foot to create these socks that cushion hug and breathe in all the right places
1|mens micropillow tab running sock light cushioning|running|designed for the movement and impact of a runners foot these socks cushion hug and breathe in all the right places
1|mens seawheeze micropillow tab running sock light cushioning|running|your best pace awaits we mapped the movement and impact of a runners foot tocreate these socks thatcushion hug and breathe inall the right places
1|senseknit running onepiece|running|take longdistance runs further powered by senseknit technology this onepiece offers unrestricted running freedom and targeted support so you feel energized with every stride
1|storage insulated running vest|running|add another mile to frosty runs this insulated vest has integrated storage so you can take your gloves beanie and water bladder with you on brisk days
1|spring break away midrise short 3|running|when runs turn into coffee runs these sweatwicking and lightweight shorts are up for it
1|spring break away midrise short 3|running|with cuffed hems and
1|these||
2|swift|swift|
1|spring break away midrise short 3|running|these shorts are the perfect combination of lightness and coverage for hot days complete with cuffed hems for a casualchic look
1|senseknit highrise running tight 28 online only|running|take longdistance runs further powered by our senseknit technology these tights offer unrestricted running freedom and targeted support so you feel energized with every stride
1|for the chill of it crop tank top|running|turn up the intensity designed around a bodys heat map this tank features several textures of integrated mesh for ventilation
7|all yours cotton long sleeve shirt|on the move|the all yours collection is made from soft comfortable fabrics and easytowear silhouettes that feel amazing and go with just about everything
2|all yours graphic long sleeve shirt|on the move|the all yours collection is made from soft comfortable fabrics and easytowear silhouettes that feel amazing and go with just about everything
3|loungeful cropped hoodie|on the move|where ready meets relaxed the loungeful collection is made of soft premium fleece fabrics and laidback silhouettes that redefine your comfort zone
8|BrightJupiter align waistlength racerback tank top|yoga|when feeling nothing is everything the BrightJupiter align collection powered by nulu fabric is so weightless and buttery soft all you feel is your practice
1|navigation down scarf|on the move|navigate the great outdoors in this insulated scarf a discreet opening lets you feed one end through the loop for a clean tied together look
1|abc slimfit pant 32 cord|on the move|the fivepocket jean reinvented these slimfit pants are engineered to give you freedom of movement and allday comfort
2|the reversible big mat marble|yoga|we designed this extralong and wide version of the reversible mat for tall yogis and those who want to really stretch out during practice
1|BrightJupiter lab cargo jacket|on the move|expect the unexpected this  madetolayer jacket is constructed with midweight fabric to provide warmth while mesh fabric  pockets and a large back vent  offer 360 ventilation
1|wool long coat|on the move|this warm woolblend coat delivers instant comfort and a pulledtogether look with room to layer over bulky sweaters and fabric that feels ohsosoft you might never take it off
1|wool long coat|on the move|this woolblend coat delivers instant comfort and a pulledtogether look with room to layer over bulky sweaters and fabric that feels ohsosoft you might never take it off
1|abc slimfit pant 28 warpstreme online only|on the move|the fivepocket jean reinvented these slimfit pants are engineered with abc technology to give you freedom of movement and allday comfort
1|commission slimfit pant 32 warpstreme|on the move|inspired by chinos these slimfit pants are made for allday comfort
2|commission slimfit pant 32 warpstreme|on the move|a classic chino done our way these pants powered by abc technology come equipped with hidden pockets and stretchy fabric to keep up with your daily agenda
1|take the moment jumpsuit BrightJupiter x robert geller|on the move|jumpsuits the original life hack theres nothing easier than tossing this on after practice as you head into your day
1|front clip backpack 21l online only|on the move|pack your bag like you pack  your day this rucksack has a wide opening and cinch  closure to make stashing gear  quick and easy
1|ribbed knit highrise short 8|on the move|beach brunch or unwind in these ribbedknit biker shorts made in a soft cottonblend fabric theyre all about breathability and comfort
1|capped short sleeve tee|on the move|this one goes with everything a dropped shoulder and cocoon silhouette make this soft knit top ideal for days on the go
1|skinny scrunchie 6 pack|on the move|reduce hair breakage and keep ponytails firmly in control with these skinny scrunchies
1|in depth jacket emboss|on the move|love that light energetic postyoga icandoanything feeling channel it all day in this lightweight jacket with breezy ventilation
1|coastline rash guard|swim|stay out in the waves all day this hiplength rash guard has uv protection and keeps your skin from getting scraped
1|nulu mesh panels highrise tight 25|yoga|sweaty practice never felt so good these yoga tights are made from butterysoft nulu fabric with subtle mesh details
1|womens textured fleecelined knit ear warmer|on the move|crush the cold in this plush fleecelined ear warmer for warmth thats softer than soft
26|flow y nulu bra light support ac cups|yoga|what bra we designed our classic racerback so you wont feel anything but your practice
3|lunar new year flow y nulu bra light support bc cup|yoga|what bra we designed our classic racerback so you wont feel anything but your practice
1|flow y nulu bra shine light support ac cups|yoga|what bra we designed our classic racerback so you wont feel anything but your practice
1|flow y nulu bra light support ac cups|yoga|feels like nothing at all made of butterysoft nulu fabric this yoga bra with minimal seams helps keep your mind on the moment
1|throwback print flow y bra nulu light support ac cups|yoga|what bra we designed our classic racerback so you wont feel anything but your practice this one features a fanfavourite print from our archives
1|all it takes long sleeve ribbed nulu|yoga|stretch into your practice this ribbed butterysoft top has all the coverage you need for forward folds backbends and everything in between
1|all it takes long sleeve shirt ribbed nulu|yoga|stretch into your practice this ribbed butterysoft top has all the coverage you need for forward folds backbends and everything in between
2|waterside v swim top cd cup|swim|which way to the beach this classic top is a natural for sunning and swimming
7|invigorate highrise tight 28 online only|training|focus on your strength not your sweat powered by everlux our fastest drying fabric the highly breathable invigorate collection handles heat and sweat during intense workouts
1|invigorate highrise tight 28 foil|training|focus on your strength not your sweat powered by everlux our fastest drying fabric the highly breathable invigorate collection handles heat and sweat during intense workouts
2|loungeful highrise short 7|on the move|where ready meets relaxed the loungeful collection is made of soft premium fleece fabrics and laidback silhouettes that redefine your comfort zone
